"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"164";"ATB";"Activite";"Trimestre";3;2021;"CH7";"Arrete_Reference";47765
"165";"ATB";"Activite";"Trimestre";3;2021;"CH7";"Annee_Reference";62375
"166";"ATB";"Activite";"Trimestre";3;2021;"AC4_5";"Trimestre_Actuel";NA
"167";"ATB";"Activite";"Trimestre";3;2021;"AC4_5";"Trimestre_Reference";NA
"168";"ATB";"Activite";"Trimestre";3;2021;"AC4_5";"Arrete_Actuel";1392145
"169";"ATB";"Activite";"Trimestre";3;2021;"AC4_5";"Arrete_Reference";1224967
"170";"ATB";"Activite";"Trimestre";3;2021;"AC4_5";"Annee_Reference";1315915
"171";"ATB";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Actuel";NA
"172";"ATB";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Reference";NA
"173";"ATB";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Actuel";NA
"174";"ATB";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Reference";NA
"175";"ATB";"Activite";"Trimestre";3;2021;"AC4";"Annee_Reference";NA
"176";"ATB";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Actuel";NA
"177";"ATB";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Reference";NA
"178";"ATB";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Actuel";1392145
"179";"ATB";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Reference";1224967
"180";"ATB";"Activite";"Trimestre";3;2021;"AC5";"Annee_Reference";1315915
"181";"ATB";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Actuel";NA
"182";"ATB";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Reference";NA
"183";"ATB";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Actuel";5385377
"184";"ATB";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Reference";5120226
"185";"ATB";"Activite";"Trimestre";3;2021;"AC3";"Annee_Reference";5121128
"186";"ATB";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Actuel";NA
"187";"ATB";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Reference";NA
"188";"ATB";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Actuel";5942411
"189";"ATB";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Reference";5647208
"190";"ATB";"Activite";"Trimestre";3;2021;"PA3";"Annee_Reference";5970282
"191";"ATB";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Actuel";NA
"192";"ATB";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Reference";NA
"193";"ATB";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Actuel";2063434
"194";"ATB";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Reference";1834769
"195";"ATB";"Activite";"Trimestre";3;2021;"DAV";"Annee_Reference";2055851
"196";"ATB";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Actuel";NA
"197";"ATB";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Reference";NA
"198";"ATB";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Actuel";1407392
"199";"ATB";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Reference";1260778
"200";"ATB";"Activite";"Trimestre";3;2021;"Epargne";"Annee_Reference";1314818
"201";"ATB";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Actuel";NA
"202";"ATB";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Reference";NA
"203";"ATB";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Actuel";559053
"204";"ATB";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Reference";265838
"205";"ATB";"Activite";"Trimestre";3;2021;"PA4";"Annee_Reference";484024
"206";"ATB";"Activite";"Trimestre";3;2021;"CAP";"Trimestre_Actuel";NA
"207";"ATB";"Activite";"Trimestre";3;2021;"CAP";"Trimestre_Reference";NA
"208";"ATB";"Activite";"Trimestre";3;2021;"CAP";"Arrete_Actuel";539082
"209";"ATB";"Activite";"Trimestre";3;2021;"CAP";"Arrete_Reference";554585
"210";"ATB";"Activite";"Trimestre";3;2021;"CAP";"Annee_Reference";553952
"211";"Attijari";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Actuel";202083
"212";"Attijari";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Reference";201262
"213";"Attijari";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Actuel";609779
"214";"Attijari";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Reference";618588
"215";"Attijari";"Activite";"Trimestre";3;2021;"PEB";"Annee_Reference";812712
"216";"Attijari";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Actuel";132542
"217";"Attijari";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Reference";140703
"218";"Attijari";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Actuel";403312
