Banque;Indicateur;Terme;Num_Terme;Annee;Rubrique;Information;Montant
AB;Bilan;Semestre;1;2012;AC3;Annee_Reference;4285124
AB;Bilan;Semestre;1;2012;AC3;Arrete_Actuel;4693688
AB;Bilan;Semestre;1;2012;AC3;Arrete_Reference;3992547
AB;Bilan;Semestre;1;2012;AC4;Annee_Reference;210047
AB;Bilan;Semestre;1;2012;AC4;Arrete_Actuel;220564
AB;Bilan;Semestre;1;2012;AC4;Arrete_Reference;147788
AB;Bilan;Semestre;1;2012;AC5;Annee_Reference;443839
AB;Bilan;Semestre;1;2012;AC5;Arrete_Actuel;402220
AB;Bilan;Semestre;1;2012;AC5;Arrete_Reference;438335
AB;Bilan;Semestre;1;2012;AC6;Annee_Reference;107968
AB;Bilan;Semestre;1;2012;AC6;Arrete_Actuel;109626
AB;Bilan;Semestre;1;2012;AC6;Arrete_Reference;105807
AB;Bilan;Semestre;1;2012;AC7;Annee_Reference;54679
AB;Bilan;Semestre;1;2012;AC7;Arrete_Actuel;64067
AB;Bilan;Semestre;1;2012;AC7;Arrete_Reference;110454
AB;Bilan;Semestre;1;2012;ACT;Annee_Reference;5516189
AB;Bilan;Semestre;1;2012;ACT;Arrete_Actuel;5960982
AB;Bilan;Semestre;1;2012;ACT;Arrete_Reference;5249129
AB;Bilan;Semestre;1;2012;CAP;Annee_Reference;442260
AB;Bilan;Semestre;1;2012;CAP;Arrete_Actuel;470434
AB;Bilan;Semestre;1;2012;CAP;Arrete_Reference;408497
AB;Bilan;Semestre;1;2012;CP1;Annee_Reference;1,00E+05
AB;Bilan;Semestre;1;2012;CP1;Arrete_Actuel;1,00E+05
AB;Bilan;Semestre;1;2012;CP1;Arrete_Reference;1,00E+05
AB;Bilan;Semestre;1;2012;CP2;Annee_Reference;277326
AB;Bilan;Semestre;1;2012;CP2;Arrete_Actuel;327850
AB;Bilan;Semestre;1;2012;CP2;Arrete_Reference;277255
AB;Bilan;Semestre;1;2012;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2012;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2012;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2012;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2012;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2012;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2012;CP5;Annee_Reference;1
AB;Bilan;Semestre;1;2012;CP5;Arrete_Actuel;1
AB;Bilan;Semestre;1;2012;CP5;Arrete_Reference;1
AB;Bilan;Semestre;1;2012;CP6;Annee_Reference;64510
AB;Bilan;Semestre;1;2012;CP6;Arrete_Actuel;42161
AB;Bilan;Semestre;1;2012;CP6;Arrete_Reference;30818
AB;Bilan;Semestre;1;2012;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2012;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2012;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2012;CPP;Annee_Reference;5516189
AB;Bilan;Semestre;1;2012;CPP;Arrete_Actuel;5960982
AB;Bilan;Semestre;1;2012;CPP;Arrete_Reference;5249129
AB;Bilan;Semestre;1;2012;PA1;Annee_Reference;576461
AB;Bilan;Semestre;1;2012;PA1;Arrete_Actuel;372537
AB;Bilan;Semestre;1;2012;PA1;Arrete_Reference;378789
AB;Bilan;Semestre;1;2012;PA2;Annee_Reference;151009
AB;Bilan;Semestre;1;2012;PA2;Arrete_Actuel;180876
AB;Bilan;Semestre;1;2012;PA2;Arrete_Reference;144301
AB;Bilan;Semestre;1;2012;PA3;Annee_Reference;3712487
